Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
d,D_SOD-123,D_SOD-123,100.7364,-91.2368,45,top
d,D_SOD-123,D_SOD-123,84.7852,-43.0784,45,top
d,D_SOD-123,D_SOD-123,108.6358,-58.928,45,top
d,D_SOD-123,D_SOD-123,92.5576,-51.2064,45,top
d,D_SOD-123,D_SOD-123,100.2284,-107.7214,45,top
d,D_SOD-123,D_SOD-123,100.2284,-99.187,45,top
d,D_SOD-123,D_SOD-123,92.5576,-59.2074,45,top
d,D_SOD-123,D_SOD-123,68.2498,-107.4674,45,top
d,D_SOD-123,D_SOD-123,76.6572,-67.4116,45,top
d,D_SOD-123,D_SOD-123,108.966,-35.306,45,top
d,D_SOD-123,D_SOD-123,44.4754,-107.061,45,top
d,D_SOD-123,D_SOD-123,92.4306,-99.5934,45,top
d,D_SOD-123,D_SOD-123,100.4824,-59.2836,45,top
d,D_SOD-123,D_SOD-123,109.093,-43.0784,45,top
d,D_SOD-123,D_SOD-123,100.2792,-67.2846,45,top
d,D_SOD-123,D_SOD-123,92.2782,-107.315,45,top
d,D_SOD-123,D_SOD-123,52.5272,-51.2064,45,top
d,D_SOD-123,D_SOD-123,60.452,-75.4888,45,top
d,D_SOD-123,D_SOD-123,108.6866,-83.2104,45,top
d,D_SOD-123,D_SOD-123,36.322,-59.4868,45,top
d,D_SOD-123,D_SOD-123,84.3788,-67.4116,45,top
d,D_SOD-123,D_SOD-123,52.5272,-67.2084,45,top
d,D_SOD-123,D_SOD-123,68.4276,-75.3364,45,top
d,D_SOD-123,D_SOD-123,68.58,-99.187,45,top
d,D_SOD-123,D_SOD-123,44.8056,-51.2826,45,top
d,D_SOD-123,D_SOD-123,60.452,-51.2826,45,top
d,D_SOD-123,D_SOD-123,60.452,-67.2084,45,top
d,D_SOD-123,D_SOD-123,100.6348,-35.306,45,top
d,D_SOD-123,D_SOD-123,84.074,-75.0824,45,top
d,D_SOD-123,D_SOD-123,36.6776,-51.4858,45,top
d,D_SOD-123,D_SOD-123,76.5302,-99.5172,45,top
d,D_SOD-123,D_SOD-123,92.4306,-67.4116,45,top
d,D_SOD-123,D_SOD-123,60.3758,-91.0082,45,top
d,D_SOD-123,D_SOD-123,108.5088,-75.3364,45,top
d,D_SOD-123,D_SOD-123,76.3016,-51.2826,45,top
d,D_SOD-123,D_SOD-123,109.0168,-98.9584,45,top
d,D_SOD-123,D_SOD-123,84.7852,-59.4868,45,top
d,D_SOD-123,D_SOD-123,52.2478,-59.2836,45,top
d,D_SOD-123,D_SOD-123,100.6348,-83.2104,45,top
d,D_SOD-123,D_SOD-123,84.328,-107.4674,45,top
d,D_SOD-123,D_SOD-123,52.1208,-35.6362,45,top
d,D_SOD-123,D_SOD-123,100.6348,-51.0032,45,top
d,D_SOD-123,D_SOD-123,44.6278,-83.1342,45,top
d,D_SOD-123,D_SOD-123,109.1692,-51.2826,45,top
d,D_SOD-123,D_SOD-123,93.0148,-90.8304,45,top
d,D_SOD-123,D_SOD-123,68.6562,-59.2074,45,top
d,D_SOD-123,D_SOD-123,36.4744,-35.3568,45,top
d,D_SOD-123,D_SOD-123,44.3992,-43.3578,45,top
d,D_SOD-123,D_SOD-123,44.5262,-67.2084,45,top
d,D_SOD-123,D_SOD-123,44.7294,-59.0804,45,top
d,D_SOD-123,D_SOD-123,76.2,-75.4126,45,top
d,D_SOD-123,D_SOD-123,52.6796,-99.3648,45,top
d,D_SOD-123,D_SOD-123,100.2284,-75.4126,45,top
d,D_SOD-123,D_SOD-123,36.6776,-75.1586,45,top
d,D_SOD-123,D_SOD-123,36.6014,-107.1372,45,top
d,D_SOD-123,D_SOD-123,44.5516,-90.678,45,top
d,D_SOD-123,D_SOD-123,52.451,-43.2308,45,top
d,D_SOD-123,D_SOD-123,76.5302,-83.2104,45,top
d,D_SOD-123,D_SOD-123,92.6084,-83.3628,45,top
d,D_SOD-123,D_SOD-123,68.2498,-43.434,45,top
d,D_SOD-123,D_SOD-123,100.6348,-43.0276,45,top
d,D_SOD-123,D_SOD-123,76.454,-43.0276,45,top
d,D_SOD-123,D_SOD-123,84.7852,-35.56,45,top
d,D_SOD-123,D_SOD-123,36.6776,-98.9584,45,top
d,D_SOD-123,D_SOD-123,68.8594,-35.2298,45,top
d,D_SOD-123,D_SOD-123,68.3768,-51.2064,45,top
d,D_SOD-123,D_SOD-123,60.452,-99.5172,45,top
d,D_SOD-123,D_SOD-123,36.3982,-43.434,45,top
d,D_SOD-123,D_SOD-123,52.2732,-107.569,45,top
d,D_SOD-123,D_SOD-123,52.4256,-90.9066,45,top
d,D_SOD-123,D_SOD-123,92.3544,-75.1586,45,top
d,D_SOD-123,D_SOD-123,36.449,-82.8802,45,top
d,D_SOD-123,D_SOD-123,44.6278,-99.2886,45,top
d,D_SOD-123,D_SOD-123,84.4804,-91.1606,45,top
d,D_SOD-123,D_SOD-123,68.5038,-67.6148,45,top
d,D_SOD-123,D_SOD-123,68.0974,-83.0326,45,top
d,D_SOD-123,D_SOD-123,60.452,-59.4106,45,top
d,D_SOD-123,D_SOD-123,76.8604,-35.7632,45,top
d,D_SOD-123,D_SOD-123,109.1692,-90.9066,45,top
d,D_SOD-123,D_SOD-123,109.4232,-107.3912,45,top
d,D_SOD-123,D_SOD-123,92.7608,-43.1546,45,top
d,D_SOD-123,D_SOD-123,44.323,-35.6362,45,top
d,D_SOD-123,D_SOD-123,92.5576,-35.7124,45,top
d,D_SOD-123,D_SOD-123,60.452,-83.2866,45,top
d,D_SOD-123,D_SOD-123,60.452,-35.7124,45,top
d,D_SOD-123,D_SOD-123,60.2996,-107.315,45,top
d,D_SOD-123,D_SOD-123,36.6014,-67.6148,45,top
d,D_SOD-123,D_SOD-123,76.2762,-91.2368,45,top
d,D_SOD-123,D_SOD-123,36.1188,-90.7542,45,top
d,D_SOD-123,D_SOD-123,76.581,-59.2074,45,top
d,D_SOD-123,D_SOD-123,52.5018,-83.1342,45,top
d,D_SOD-123,D_SOD-123,68.5038,-91.2368,45,top
d,D_SOD-123,D_SOD-123,76.1238,-107.6452,45,top
d,D_SOD-123,D_SOD-123,84.582,-83.1342,45,top
d,D_SOD-123,D_SOD-123,52.5018,-74.93,45,top
d,D_SOD-123,D_SOD-123,84.3788,-51.0032,45,top
d,D_SOD-123,D_SOD-123,108.6866,-67.2846,45,top
